ID;Title;DOI;citation(in APA);year;venue;tool;manual analysis;custom tool description;tool justification/consequence;eyetracker;configuration eyetracker;study task;#participants;demographics;#items per participant;item type;item language;item scrolling;replication package;codes justification;codes consequence
S81;An eye-tracking methodology for characterizing program comprehension processes;https://doi.org/10.1145/1117309.1117356;Bednarik, R., & Tukiainen, M. (2006). An eye-tracking methodology for characterizing program comprehension processes. An Eye-tracking Methodology for Characterizing Program Comprehension Processes. https://doi.org/10.1145/1117309.1117356;2006;conference;not named (fixations, saccades);/;/;/;Tobii 1750;"17"" screen, 1024*768 pixel";program comprehension;16;students;3;code snippet;Java;no;no;;
S82;Analyzing individual performance of source code review using reviewers' eye movement;https://doi.org/10.1145/1117309.1117357;Uwano, H., Nakamura, M., Monden, A., & Matsumoto, K. (2006). Analyzing individual performance of source code review using reviewers’ eye movement. Analyzing Individual Performance of Source Code Review Using Reviewers’ Eye Movement. https://doi.org/10.1145/1117309.1117357;2006;conference;application bundled with EMR-NC (fixations);;Crescent (mapping to line number and duration on line number);"""The bundled application also can
compute fixations, particular coordinates at which the eye mark
stays for a given moment. The fixations can be useful to identify
the reviewer's gaze (Requirement R2). Note however that the raw
sampled data is not sufficient to satisfy Requirements 1 to 4, since
it just represents a set of absolute coordinates of the eye movements. We need to refine the raw data into the one feasible to the individual analysis of code review. To complete the requirements, we have developed a software
application Crescent (Code Review Evaluation System by Capturing Eye movemeNT) on top of the hardware components.""";Eye Mark Tracker (EMR-NC);"21"" screen, 1024*768 pixel";debugging;5;graduates;6;code snippet;C;yes;no;;not enough features
S83;Visual attention patterns during program debugging with an IDE;https://doi.org/10.1145/2168556.2168592;Hejmady, P., & Narayanan, N. H. (2012). Visual attention patterns during program debugging with an IDE. Visual Attention Patterns During Program Debugging With an IDE. https://doi.org/10.1145/2168556.2168592;2012;conference;Tobii Studio 2.1 (data);/;"utility program (""Based
on the desired attributes (such as gaze duration and AOI
dimensions), this program generated character strings
representing attention switches among Code, Static
Visualization, Dynamic Visualization and Output. "")";/;Tobii T60 XL;/;debugging;19;graduates and undergraduates;1;code snippet;Java;no;no;;
S84;An eye-tracking study on the role of scan time in finding source code defects;https://doi.org/10.1145/2168556.2168642;Sharif, B., Falcone, M., & Maletic, J. I. (2012). An eye-tracking study on the role of scan time in finding source code defects. An Eye-tracking Study on the Role of Scan Time in Finding Source Code Defects. https://doi.org/10.1145/2168556.2168642;2012;conference;not named (fixations, saccades);/;"eye gaze analyzer written in C++ (eye
movement pattern)";/;Tobii 1750;"17"" screen, 1024*768 pixel";debugging;15;7 undergraduates, 6 graduates, 2 faculty members;4;code snippet;C;no;no;;
S85;What influences dwell time during source code reading?;https://doi.org/10.1145/2578153.2578211;Busjahn, T., Bednarik, R., & Schulte, C. (2014). What influences dwell time during source code reading? What Influences Dwell Time During Source Code Reading?: Analysis of Element Type and Frequency as Factors. https://doi.org/10.1145/2578153.2578211;2014;conference;not named (fixations, saccades, dwell/gaze time);/;/;/;Tobii T120;/;program comprehension;15;professionals;11;code snippet;Java;no;no;;
S86;An eye-tracking study assessing the comprehension of c++ and Python source code;https://doi.org/10.1145/2578153.2578218;Turner, R., Falcone, M., Sharif, B., & Lazar, A. (2014). An eye-tracking study assessing the comprehension of c++ and Python source code. An Eye-tracking Study Assessing the Comprehension of C++ and Python Source Code. https://doi.org/10.1145/2578153.2578218;2014;conference;/;/;"EyeAnalyzer (""The collected data consisted of a single screen capture video and
a sequence of raw eye fixations in XML format for each subject.
Some records had to be discarded due to technical and data integrity issues. Video and fixations were recorded continuously
over all stimuli, so we defined task boundaries and AOIs a posteri using a tool built in Visual Basic .NET. This tool allowed us
to define task boundaries as well as measure fixation counts and
total fixation duration within each AOI. """;/;/;65 cm distance;program comprehension;38;undergraduates, graduates;10;code snippet;Python, C++;no;http://www.csis.ysu.edu/~bsharif/etra14 (not working anymore);;
S87;How do we read algorithms? A case study;https://doi.org/10.1109/2.48797;Crosby, M. E., & Stelovsky, J. (1990). How do we read algorithms? A case study. IEEE Computer, 23(1), 25–35. https://doi.org/10.1109/2.48797;1990;journal;not named (fixations);/;"""Materials and analysis software were developed on Macintosh computers. This software for postexperimental analysis was designed to provide a highly visual, dynamic picture of the subjects’ eye movements. Eye fixations are superimposed on a gray, scaled-down picture of the slide. Each fixation point is displayed in time proportional to its real duration. A fixation can be visualized in a variety of modes: as a corner of a path where lines connect subsequent fixation points; as a circle whose radius is proportional to the pupil size; or by highlighting the enclosing area. Another feature of our analysis software allows the experimenter to partition
the slide into areas that can be used for a more global analysis. Figure 4 shows how the text slide was subdivided into areas of varying complexity. Then, the total number of fixations (or total time) can be
shown in each area""";"""Materials and analysis software were
developed on Macintosh computers. This
software for postexperimental analysis
was designed to provide a highly visual,
dynamic picture of the subjects’ eye
movements""";Applied Science Laboratories eye movement monitor;/;program comprehension;19;10 undergraduates, 8 graduates, 1 PhD;12;code snippet;Pascal;no;no;highly visual, dynamic picture of eye movements, for macintosh;
S88;Using psycho-physiological measures to assess task difficulty in software development;https://doi.org/10.1145/2568225.2568266;Fritz, T., Begel, A., Müller, S., Yigit-Elliott, S., & Züger, M. (2014). Using psycho-physiological measures to assess task difficulty in software development. Using Psycho-physiological Measures to Assess Task Difficulty in Software Development. https://doi.org/10.1145/2568225.2568266;2014;conference;"Tobii Studio (I-VT fixation filter) (fixation and saccade count
and duration and pupil diameter)";/;/;/;Tobii TX300;"tool records/analyzes from subjects dominant eye, 1920*1080 pixel, 23"" screen, 50-75 cm distance";program comprehension;15;professionals;8;code snippet;C#;no;http://research.microsoft.com/apps/pubs/?id=209878;;
S89;Improving automated source code summarization via an eye-tracking study of programmers;https://doi.org/10.1145/2568225.2568247;Rodeghero, P., McMillan, C., McBurney, P. W., Bosch, N., & D’Mello, S. K. (2014). Improving automated source code summarization via an eye-tracking study of programmers. Improving Automated Source Code Summarization via an Eye-tracking Study of Programmers. https://doi.org/10.1145/2568225.2568247;2014;conference;"not named (gaze time, fixations,
and regressions)";/;/;/;Tobii TX300;1920*1080 pixel;program comprehension;10;professionals;67;code snippet;Java;no;http://www3.nd.edu/~prodeghe/projects/eyesum/;;
S90;Expertise-dependent visual attention strategies develop over time during debugging with multiple code representations;https://doi.org/10.1016/j.ijhcs.2011.09.003;Bednarik, R. (2012). Expertise-dependent visual attention strategies develop over time during debugging with multiple code representations. International Journal of Human-computer Studies, 70(2), 143–155. https://doi.org/10.1016/j.ijhcs.2011.09.003;2012;journal;not named (fixations);"total fixation time, proportional fixation time, number of switches
per minute";/;/;Tobii 1750;/;debugging;18;6 novices, 8 experts;3;code snippet;Java;no;no;;
S91;How Does Software Visualization Contribute to Software Comprehension? A Grounded Theory Approach;https://doi.org/10.1080/10447318.2013.773876;Duru, H. A., Cakir, M., & İşler, V. (2013). How does software visualization contribute to software comprehension? a grounded theory approach. International Journal of Human-computer Interaction, 29(11), 743–763. https://doi.org/10.1080/10447318.2013.773876;2013;journal;Tobii Studio (fixations);/;/;/;Tobii T1750;/;program comprehension;13;professionals;7;code snippet;.NET;yes;no;;
S92;Another person's eye gaze as a cue in solving programming problems;https://doi.org/10.1145/1027933.1027936;Stein, R., & Brennan, S. E. (2004). Another person’s eye gaze as a cue in solving programming problems. Another Person’s Eye Gaze as a Cue in Solving Programming Problems. https://doi.org/10.1145/1027933.1027936;2004;conference;/;/;/;/;ISCAN RK-726PCI;;collaborative;10;professionals;3;code snippet;Java;no;no;;
S93;Performing and analyzing non-formal inspections of entity relationship diagram (ERD);https://doi.org/10.1016/j.jss.2013.03.106;Cagiltay, N. E., Tokdemir, G., Kilic, O., & Topalli, D. (2013). Performing and analyzing non-formal inspections of entity relationship diagram (ERD). Journal of Systems and Software, 86(8), 2184–2195. https://doi.org/10.1016/j.jss.2013.03.106;2013;journal;not named (fixations, durations);/;/;/;Tobii (not named, probably 1750);"17"" screen, 1024*768 pixel";program comprehension;4;professionals;;entity-relationship diagram;/;no;no;;
S94;An empirical study assessing the effect of seeit 3D on comprehension;https://doi.org/10.1109/VISSOFT.2013.6650519;Sharif, B., Jetty, G., Aponte, J., & Parra, E. (2013). An empirical study assessing the effect of seeit 3D on comprehension. An Empirical Study Assessing the Effect of Seeit 3D on Comprehension. https://doi.org/10.1109/vissoft.2013.6650519;2013;conference;not named (fixations, durations);heatmaps;/;/;Tobii X60;"1920*1080 pixel, 24"" screen";debugging;97;students;6;code snippet;Java;no;http://www.csis.ysu.edu/seresl/seeit3d-study/;;
S95;The Roles Beacons Play in Comprehension for Novice and Expert Programmers;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8d7013c1fb7fdb5b3ed638022a9d0048dd01e8fd;Crosby, M.E., Scholtz, J., & Wiedenbeck, S. (2002). The Roles Beacons Play in Comprehension for Novice and Expert Programmers. Annual Workshop of the Psychology of Programming Interest Group.;2002;workshop;not named (fixations and fixation times);/;/;/;ASL;/;program comprehension;19;students;1;code snippet;Pascal;no;no;;
S96;An empirical study on requirements traceability using eye-tracking;https://doi.org/10.1109/ICSM.2012.6405271;Ali, N., Sharafl, Z., Guéhéneuc, Y., & Antoniol, G. (2012). An empirical study on requirements traceability using eye-tracking. 2012 28th IEEE International Conference on Software Maintenance (ICSM). https://doi.org/10.1109/icsm.2012.6405271;2012;conference;not named (fixations);total fixation time;/;/;FaceLAB;"27"" screen, 1920*1080 pixel, 70 cm distance";traceability;26;students;6;code snippet;Java;no;http://www.ptidej.net/download/experiments/icsm12a/ (not working anymore);;
S97;Code Scanning Patterns in Program Comprehension;https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=1153854b79709f4d552959eebf9f7b2c0431f63a;Aschwanden, C. and Crosby, M. (2006). Code scanning patterns in program comprehension. In Proceedings of the 39th Hawaii International Conference on System Sciences, HICSS ’06.;2006;conference;"EventStream Framework (fixations, longest fixation average, fixation
duration)";/;/;/;ASL;;program comprehension;15;students;6;code snippet;Java;no;no;;
